"지역","측정소코드","측정소명","SO2","CO","O3","NO2","PM10","PM25","주소","측정일","측정시간"
"서울",111121,"중구",0.003,0.7,0.041,0.03,63,21,"서울 중구 덕수궁길 15",2016-05-28,"01"
"서울",111121,"중구",0.003,0.7,0.04,0.028,59,39,"서울 중구 덕수궁길 15",2016-05-28,"02"
"서울",111121,"중구",0.003,0.8,0.032,0.029,73,52,"서울 중구 덕수궁길 15",2016-05-28,"03"
"서울",111121,"중구",0.003,0.8,0.026,0.031,89,65,"서울 중구 덕수궁길 15",2016-05-28,"04"
"서울",111121,"중구",0.003,0.9,0.014,0.042,76,50,"서울 중구 덕수궁길 15",2016-05-28,"05"
"서울",111121,"중구",0.003,0.9,0.019,0.035,83,57,"서울 중구 덕수궁길 15",2016-05-28,"06"
"서울",111121,"중구",0.004,0.8,0.02,0.036,68,41,"서울 중구 덕수궁길 15",2016-05-28,"07"
"서울",111121,"중구",0.004,0.9,0.016,0.042,68,45,"서울 중구 덕수궁길 15",2016-05-28,"08"
"서울",111121,"중구",0.006,0.9,0.013,0.056,74,44,"서울 중구 덕수궁길 15",2016-05-28,"09"
"서울",111121,"중구",0.008,0.9,0.023,0.052,112,42,"서울 중구 덕수궁길 15",2016-05-28,"10"
"서울",111121,"중구",0.008,0.8,0.034,0.048,94,38,"서울 중구 덕수궁길 15",2016-05-28,"11"
"서울",111121,"중구",0.005,0.8,0.048,0.036,87,37,"서울 중구 덕수궁길 15",2016-05-28,"12"
"서울",111121,"중구",0.005,0.7,0.06,0.032,83,33,"서울 중구 덕수궁길 15",2016-05-28,"13"
"서울",111121,"중구",0.006,0.8,0.065,0.041,80,44,"서울 중구 덕수궁길 15",2016-05-28,"14"
"서울",111121,"중구",0.007,0.7,0.071,0.038,97,46,"서울 중구 덕수궁길 15",2016-05-28,"15"
"서울",111121,"중구",0.006,0.6,0.077,0.03,81,33,"서울 중구 덕수궁길 15",2016-05-28,"16"
"서울",111121,"중구",0.005,0.6,0.075,0.025,82,39,"서울 중구 덕수궁길 15",2016-05-28,"17"
"서울",111121,"중구",0.004,0.6,0.063,0.025,72,30,"서울 중구 덕수궁길 15",2016-05-28,"18"
"서울",111121,"중구",0.003,0.6,0.057,0.028,61,23,"서울 중구 덕수궁길 15",2016-05-28,"19"
"서울",111121,"중구",0.005,0.6,0.038,0.048,63,27,"서울 중구 덕수궁길 15",2016-05-28,"20"
"서울",111121,"중구",0.009,0.6,0.045,0.039,61,25,"서울 중구 덕수궁길 15",2016-05-28,"21"
"서울",111121,"중구",0.007,0.6,0.054,0.035,89,25,"서울 중구 덕수궁길 15",2016-05-28,"22"
"서울",111121,"중구",0.005,0.7,0.044,0.041,94,36,"서울 중구 덕수궁길 15",2016-05-28,"23"
"서울",111121,"중구",0.005,0.7,0.038,0.048,96,31,"서울 중구 덕수궁길 15",2016-05-28,"24"
"서울",111122,"한강대로",0.005,0.6,0.025,0.051,65,NA,"서울 용산구 한강대로 405",2016-05-28,"01"
"서울",111122,"한강대로",0.004,0.7,0.028,0.038,67,NA,"서울 용산구 한강대로 405",2016-05-28,"02"
"서울",111122,"한강대로",0.004,0.7,0.023,0.037,77,NA,"서울 용산구 한강대로 405",2016-05-28,"03"
"서울",111122,"한강대로",0.005,0.8,0.014,0.048,83,NA,"서울 용산구 한강대로 405",2016-05-28,"04"
"서울",111122,"한강대로",0.005,0.8,0.008,0.053,76,NA,"서울 용산구 한강대로 405",2016-05-28,"05"
"서울",111122,"한강대로",0.005,0.7,0.013,0.048,88,NA,"서울 용산구 한강대로 405",2016-05-28,"06"
"서울",111122,"한강대로",0.005,0.7,0.015,0.046,67,NA,"서울 용산구 한강대로 405",2016-05-28,"07"
"서울",111122,"한강대로",0.006,0.8,0.007,0.062,72,NA,"서울 용산구 한강대로 405",2016-05-28,"08"
"서울",111122,"한강대로",0.008,0.9,0.008,0.072,105,NA,"서울 용산구 한강대로 405",2016-05-28,"09"
"서울",111122,"한강대로",0.008,0.9,0.017,0.064,100,NA,"서울 용산구 한강대로 405",2016-05-28,"10"
"서울",111122,"한강대로",0.008,0.8,0.021,0.068,105,NA,"서울 용산구 한강대로 405",2016-05-28,"11"
"서울",111122,"한강대로",0.008,0.7,0.034,0.062,96,NA,"서울 용산구 한강대로 405",2016-05-28,"12"
"서울",111122,"한강대로",0.007,0.7,0.038,0.071,88,NA,"서울 용산구 한강대로 405",2016-05-28,"13"
"서울",111122,"한강대로",0.008,0.7,0.044,0.069,96,NA,"서울 용산구 한강대로 405",2016-05-28,"14"
"서울",111122,"한강대로",0.008,0.8,0.048,0.074,114,NA,"서울 용산구 한강대로 405",2016-05-28,"15"
"서울",111122,"한강대로",0.008,0.7,0.051,0.061,105,NA,"서울 용산구 한강대로 405",2016-05-28,"16"
"서울",111122,"한강대로",0.007,0.6,0.053,0.056,82,NA,"서울 용산구 한강대로 405",2016-05-28,"17"
"서울",111122,"한강대로",0.005,0.5,0.047,0.049,75,NA,"서울 용산구 한강대로 405",2016-05-28,"18"
"서울",111122,"한강대로",0.005,0.6,0.037,0.055,63,NA,"서울 용산구 한강대로 405",2016-05-28,"19"
"서울",111122,"한강대로",0.006,0.6,0.029,0.064,66,NA,"서울 용산구 한강대로 405",2016-05-28,"20"
"서울",111122,"한강대로",0.009,0.6,0.025,0.066,70,NA,"서울 용산구 한강대로 405",2016-05-28,"21"
"서울",111122,"한강대로",0.01,0.6,0.04,0.057,86,NA,"서울 용산구 한강대로 405",2016-05-28,"22"
"서울",111122,"한강대로",0.007,0.7,0.029,0.059,100,NA,"서울 용산구 한강대로 405",2016-05-28,"23"
"서울",111122,"한강대로",0.008,0.7,0.026,0.072,93,NA,"서울 용산구 한강대로 405",2016-05-28,"24"
"서울",111123,"종로구",0.004,0.4,0.02,0.042,75,46,"서울 종로구 종로35가길 19",2016-05-28,"01"
"서울",111123,"종로구",0.004,0.4,0.037,0.021,53,34,"서울 종로구 종로35가길 19",2016-05-28,"02"
"서울",111123,"종로구",0.004,0.4,0.028,0.025,59,41,"서울 종로구 종로35가길 19",2016-05-28,"03"
"서울",111123,"종로구",0.004,0.4,0.023,0.023,83,61,"서울 종로구 종로35가길 19",2016-05-28,"04"
"서울",111123,"종로구",0.005,0.4,0.016,0.029,85,65,"서울 종로구 종로35가길 19",2016-05-28,"05"
"서울",111123,"종로구",0.005,0.5,0.008,0.038,91,69,"서울 종로구 종로35가길 19",2016-05-28,"06"
"서울",111123,"종로구",0.005,0.5,0.012,0.035,97,70,"서울 종로구 종로35가길 19",2016-05-28,"07"
"서울",111123,"종로구",0.005,0.5,0.013,0.04,92,70,"서울 종로구 종로35가길 19",2016-05-28,"08"
