"지역","측정소코드","측정소명","SO2","CO","O3","NO2","PM10","PM25","주소","측정일","측정시간"
"서울",111121,"중구",0.004,0.3,0.016,NA,18,4,"서울 중구 덕수궁길 15",2016-08-09,"01"
"서울",111121,"중구",0.004,0.3,0.02,NA,15,17,"서울 중구 덕수궁길 15",2016-08-09,"02"
"서울",111121,"중구",0.003,0.3,0.021,NA,13,11,"서울 중구 덕수궁길 15",2016-08-09,"03"
"서울",111121,"중구",0.004,0.3,0.023,NA,16,12,"서울 중구 덕수궁길 15",2016-08-09,"04"
"서울",111121,"중구",0.004,0.3,0.024,NA,15,6,"서울 중구 덕수궁길 15",2016-08-09,"05"
"서울",111121,"중구",0.003,0.3,0.016,NA,17,12,"서울 중구 덕수궁길 15",2016-08-09,"06"
"서울",111121,"중구",0.004,0.3,0.011,NA,13,8,"서울 중구 덕수궁길 15",2016-08-09,"07"
"서울",111121,"중구",0.004,0.4,0.014,NA,16,9,"서울 중구 덕수궁길 15",2016-08-09,"08"
"서울",111121,"중구",0.004,0.4,0.013,NA,15,9,"서울 중구 덕수궁길 15",2016-08-09,"09"
"서울",111121,"중구",0.004,0.5,0.015,NA,13,7,"서울 중구 덕수궁길 15",2016-08-09,"10"
"서울",111121,"중구",0.004,0.6,0.015,NA,29,14,"서울 중구 덕수궁길 15",2016-08-09,"11"
"서울",111121,"중구",NA,NA,NA,NA,NA,NA,"서울 중구 덕수궁길 15",2016-08-09,"12"
"서울",111121,"중구",NA,NA,NA,NA,NA,NA,"서울 중구 덕수궁길 15",2016-08-09,"13"
"서울",111121,"중구",0.004,0.5,0.05,0.036,46,35,"서울 중구 덕수궁길 15",2016-08-09,"14"
"서울",111121,"중구",0.004,0.6,0.04,0.053,70,34,"서울 중구 덕수궁길 15",2016-08-09,"15"
"서울",111121,"중구",0.004,1.2,0.03,0.064,53,36,"서울 중구 덕수궁길 15",2016-08-09,"16"
"서울",111121,"중구",0.004,0.7,0.036,0.059,41,29,"서울 중구 덕수궁길 15",2016-08-09,"17"
"서울",111121,"중구",0.004,0.6,0.051,0.056,42,35,"서울 중구 덕수궁길 15",2016-08-09,"18"
"서울",111121,"중구",0.004,0.6,0.061,0.051,44,34,"서울 중구 덕수궁길 15",2016-08-09,"19"
"서울",111121,"중구",0.004,0.7,0.043,0.067,62,42,"서울 중구 덕수궁길 15",2016-08-09,"20"
"서울",111121,"중구",0.004,0.5,0.054,0.036,68,45,"서울 중구 덕수궁길 15",2016-08-09,"21"
"서울",111121,"중구",0.004,0.5,0.039,0.04,61,30,"서울 중구 덕수궁길 15",2016-08-09,"22"
"서울",111121,"중구",0.004,0.6,0.033,0.044,65,34,"서울 중구 덕수궁길 15",2016-08-09,"23"
"서울",111121,"중구",0.004,0.5,0.049,0.03,98,54,"서울 중구 덕수궁길 15",2016-08-09,"24"
"서울",111122,"한강대로",0.004,0.5,0.013,0.024,22,NA,"서울 용산구 한강대로 405",2016-08-09,"01"
"서울",111122,"한강대로",0.004,0.4,0.021,0.015,20,NA,"서울 용산구 한강대로 405",2016-08-09,"02"
"서울",111122,"한강대로",0.004,0.3,0.026,0.011,22,NA,"서울 용산구 한강대로 405",2016-08-09,"03"
"서울",111122,"한강대로",0.004,0.3,0.024,0.014,18,NA,"서울 용산구 한강대로 405",2016-08-09,"04"
"서울",111122,"한강대로",0.004,0.3,0.024,0.014,14,NA,"서울 용산구 한강대로 405",2016-08-09,"05"
"서울",111122,"한강대로",0.004,0.4,0.013,0.031,23,NA,"서울 용산구 한강대로 405",2016-08-09,"06"
"서울",111122,"한강대로",0.004,0.4,0.008,0.038,16,NA,"서울 용산구 한강대로 405",2016-08-09,"07"
"서울",111122,"한강대로",0.005,0.4,0.007,0.034,14,NA,"서울 용산구 한강대로 405",2016-08-09,"08"
