"지역","측정소코드","측정소명","SO2","CO","O3","NO2","PM10","PM25","주소","측정일","측정시간"
"서울",111121,"중구",0.003,0.3,0.013,NA,33,30,"서울 중구 덕수궁길 15",2016-07-28,"01"
"서울",111121,"중구",0.002,0.2,0.021,NA,38,28,"서울 중구 덕수궁길 15",2016-07-28,"02"
"서울",111121,"중구",0.002,0.1,0.023,NA,30,20,"서울 중구 덕수궁길 15",2016-07-28,"03"
"서울",111121,"중구",0.002,0.1,0.021,NA,25,21,"서울 중구 덕수궁길 15",2016-07-28,"04"
"서울",111121,"중구",0.002,0.2,0.018,NA,33,25,"서울 중구 덕수궁길 15",2016-07-28,"05"
"서울",111121,"중구",0.002,0.2,0.01,NA,32,23,"서울 중구 덕수궁길 15",2016-07-28,"06"
"서울",111121,"중구",0.002,0.2,0.005,NA,37,22,"서울 중구 덕수궁길 15",2016-07-28,"07"
"서울",111121,"중구",0.002,0.4,0.008,NA,48,37,"서울 중구 덕수궁길 15",2016-07-28,"08"
"서울",111121,"중구",0.002,0.4,0.019,NA,60,47,"서울 중구 덕수궁길 15",2016-07-28,"09"
"서울",111121,"중구",0.002,0.4,0.028,NA,39,37,"서울 중구 덕수궁길 15",2016-07-28,"10"
"서울",111121,"중구",0.002,0.4,0.036,NA,56,41,"서울 중구 덕수궁길 15",2016-07-28,"11"
"서울",111121,"중구",0.002,0.4,0.041,NA,57,46,"서울 중구 덕수궁길 15",2016-07-28,"12"
"서울",111121,"중구",0.002,0.4,0.059,NA,53,45,"서울 중구 덕수궁길 15",2016-07-28,"13"
"서울",111121,"중구",0.002,0.4,0.061,NA,72,47,"서울 중구 덕수궁길 15",2016-07-28,"14"
"서울",111121,"중구",0.002,0.4,0.058,NA,63,45,"서울 중구 덕수궁길 15",2016-07-28,"15"
"서울",111121,"중구",0.002,0.4,0.064,NA,55,45,"서울 중구 덕수궁길 15",2016-07-28,"16"
"서울",111121,"중구",0.002,0.6,0.072,NA,93,56,"서울 중구 덕수궁길 15",2016-07-28,"17"
"서울",111121,"중구",0.002,0.5,0.066,NA,89,54,"서울 중구 덕수궁길 15",2016-07-28,"18"
"서울",111121,"중구",0.002,0.5,0.065,NA,85,45,"서울 중구 덕수궁길 15",2016-07-28,"19"
"서울",111121,"중구",0.002,0.5,0.058,NA,91,57,"서울 중구 덕수궁길 15",2016-07-28,"20"
"서울",111121,"중구",0.002,0.4,0.047,NA,89,45,"서울 중구 덕수궁길 15",2016-07-28,"21"
"서울",111121,"중구",0.002,0.4,0.041,NA,80,45,"서울 중구 덕수궁길 15",2016-07-28,"22"
"서울",111121,"중구",0.002,0.5,0.034,NA,82,43,"서울 중구 덕수궁길 15",2016-07-28,"23"
"서울",111121,"중구",0.002,0.5,0.023,NA,74,45,"서울 중구 덕수궁길 15",2016-07-28,"24"
"서울",111122,"한강대로",0.005,0.4,0.018,0.023,58,NA,"서울 용산구 한강대로 405",2016-07-28,"01"
"서울",111122,"한강대로",0.005,0.4,0.021,0.017,41,NA,"서울 용산구 한강대로 405",2016-07-28,"02"
"서울",111122,"한강대로",0.004,0.3,0.021,0.017,36,NA,"서울 용산구 한강대로 405",2016-07-28,"03"
"서울",111122,"한강대로",0.004,0.3,0.016,0.023,81,NA,"서울 용산구 한강대로 405",2016-07-28,"04"
"서울",111122,"한강대로",0.004,0.3,0.018,0.016,48,NA,"서울 용산구 한강대로 405",2016-07-28,"05"
"서울",111122,"한강대로",0.004,0.3,0.016,0.019,47,NA,"서울 용산구 한강대로 405",2016-07-28,"06"
"서울",111122,"한강대로",0.004,0.4,0.008,0.029,37,NA,"서울 용산구 한강대로 405",2016-07-28,"07"
"서울",111122,"한강대로",0.005,0.7,0.005,0.054,75,NA,"서울 용산구 한강대로 405",2016-07-28,"08"
"서울",111122,"한강대로",0.005,0.7,0.012,0.06,85,NA,"서울 용산구 한강대로 405",2016-07-28,"09"
"서울",111122,"한강대로",0.005,0.7,0.017,0.075,58,NA,"서울 용산구 한강대로 405",2016-07-28,"10"
"서울",111122,"한강대로",0.005,0.8,0.023,0.049,79,NA,"서울 용산구 한강대로 405",2016-07-28,"11"
"서울",111122,"한강대로",0.004,0.8,0.026,0.068,77,NA,"서울 용산구 한강대로 405",2016-07-28,"12"
"서울",111122,"한강대로",0.005,0.9,0.04,0.061,68,NA,"서울 용산구 한강대로 405",2016-07-28,"13"
"서울",111122,"한강대로",0.005,0.9,0.043,0.064,77,NA,"서울 용산구 한강대로 405",2016-07-28,"14"
"서울",111122,"한강대로",0.005,0.7,0.048,0.053,105,NA,"서울 용산구 한강대로 405",2016-07-28,"15"
"서울",111122,"한강대로",0.005,0.8,0.046,0.069,70,NA,"서울 용산구 한강대로 405",2016-07-28,"16"
"서울",111122,"한강대로",0.005,0.8,0.057,0.052,111,NA,"서울 용산구 한강대로 405",2016-07-28,"17"
"서울",111122,"한강대로",0.005,0.8,0.049,0.055,90,NA,"서울 용산구 한강대로 405",2016-07-28,"18"
